date,temp,pressure,wind_speed,wind_dir,sun_radiation,sca_radiation,nwp_tmp,nwp_rh,nwp_surfacepres,nwp_windspeed,nwp_winddir,nwp_shortwaveirrad,nwp_scatterirrad,nwp_directirrad,capacity,OT
2018/06/30 16:00,24.700001,1007.200012,0.9,161.399994,0.0,0.0,26.47,54.44,1004.46,3.66,127.96,0.0,0.0,0.0,15.52201,0.0
2018/06/30 16:15,24.5,1007.200012,1.3,147.300003,0.0,0.0,26.24,55.63,1004.45,3.53,128.51,0.0,0.0,0.0,15.52201,0.0
2018/06/30 16:30,24.700001,1006.099976,0.7,144.0,0.0,0.0,26.03,56.73,1004.52,3.38,128.77,0.0,0.0,0.0,15.52201,0.0
2018/06/30 16:45,24.5,1007.200012,1.3,161.399994,0.0,0.0,25.8,57.87,1004.19,3.27,128.81,0.0,0.0,0.0,15.52201,0.0
2018/06/30 17:00,24.299999,1006.900024,0.8,166.399994,0.0,0.0,25.59,58.97,1004.16,3.14,127.53,0.0,0.0,0.0,15.52201,0.0
2018/06/30 17:15,24.0,1006.900024,0.7,147.300003,0.0,0.0,25.43,59.99,1004.61,3.03,126.89,0.0,0.0,0.0,15.52201,0.0
2018/06/30 17:30,24.0,1006.599976,1.0,106.800003,0.0,0.0,25.24,61.15,1004.63,2.98,126.08,0.0,0.0,0.0,15.52201,0.0
2018/06/30 17:45,24.299999,1007.700012,0.2,220.800003,0.0,0.0,25.04,62.44,1004.49,2.99,125.42,0.0,0.0,0.0,15.52201,0.0
2018/06/30 18:00,24.0,1007.5,0.0,331.600006,0.0,0.0,24.83,63.87,1004.21,3.04,125.25,0.0,0.0,0.0,15.52201,0.0
2018/06/30 18:15,24.0,1007.5,0.4,138.199997,0.0,0.0,24.65,65.37,1004.25,3.12,124.29,0.0,0.0,0.0,15.52201,0.0
2018/06/30 18:30,23.9,1006.599976,0.0,172.100006,0.0,0.6,24.47,66.98,1004.33,3.13,122.69,0.0,0.0,0.0,15.52201,0.0
2018/06/30 18:45,23.700001,1007.200012,0.1,192.600006,0.0,0.0,24.28,68.63,1004.28,3.09,121.85,0.0,0.0,0.0,15.52201,0.0
2018/06/30 19:00,23.4,1006.599976,0.5,155.0,0.0,0.0,24.12,70.18,1004.47,3.07,122.07,0.0,0.0,0.0,15.52201,0.0
2018/06/30 19:15,22.700001,1007.200012,0.8,183.600006,0.0,0.0,23.97,71.68,1004.63,3.12,124.34,0.0,0.0,0.0,15.52201,0.0
2018/06/30 19:30,23.299999,1006.400024,0.8,155.0,0.0,0.0,23.84,73.04,1004.97,3.21,127.92,0.0,0.0,0.0,15.52201,0.0
2018/06/30 19:45,22.799999,1007.200012,0.9,164.5,0.0,0.0,23.69,74.4,1004.9,3.32,131.73,0.0,0.0,0.0,15.52201,0.0
2018/06/30 20:00,23.1,1006.599976,0.7,158.0,0.0,0.0,23.56,75.65,1004.97,3.36,135.91,0.0,0.0,0.0,15.52201,0.0
2018/06/30 20:15,23.1,1007.700012,0.5,161.399994,0.0,0.6,23.43,76.88,1005.06,3.28,139.32,0.0,0.0,0.0,15.52201,0.0
2018/06/30 20:30,23.200001,1007.700012,0.7,141.300003,0.0,0.6,23.3,78.05,1005.23,3.08,141.01,0.0,0.0,0.0,15.52201,0.0
2018/06/30 20:45,22.700001,1007.700012,0.9,133.300003,0.0,1.9,23.17,79.17,1005.37,2.86,142.3,0.0,0.0,0.0,15.52201,0.0
2018/06/30 21:00,22.799999,1008.0,1.0,141.300003,5.4,2.0,23.05,80.15,1005.45,2.75,141.75,1.76,1.56,0.2,15.52201,0.0
2018/06/30 21:15,22.700001,1008.0,0.6,144.300003,13.8,14.2,23.17,80.05,1005.52,2.76,140.0,29.31,12.389999999999995,16.92,15.52201,0.0
2018/06/30 21:30,22.6,1008.299988,0.2,166.399994,31.200001,33.599998,23.39,79.45,1005.46,2.82,137.64,54.86,17.79,37.07,15.52201,0.0
2018/06/30 21:45,23.0,1008.299988,0.5,164.5,53.0,56.599998,23.86,77.68,1005.3,2.97,137.35,98.58,23.959999999999997,74.62,15.52201,0.0
2018/06/30 22:00,23.299999,1008.299988,0.7,144.300003,88.800003,78.900002,24.3,75.93,1005.23,3.14,138.47,130.01,27.19999999999999,102.81,15.52201,0.0
2018/06/30 22:15,24.299999,1008.299988,1.3,135.300003,82.800003,80.099998,24.82,73.95,1005.14,3.27,136.88,179.35,31.25,148.1,15.52201,0.0
2018/06/30 22:30,24.799999,1008.299988,1.5,102.0,138.899994,134.5,25.41,71.5,1005.1,3.45,137.04,213.23,33.53999999999999,179.69,15.52201,0.0
2018/06/30 22:45,25.1,1008.299988,1.9,161.399994,225.699997,142.899994,25.83,69.88,1005.22,3.57,137.34,264.84,36.53999999999997,228.3,15.52201,0.0
2018/06/30 23:00,26.0,1008.299988,0.9,152.300003,262.899994,156.0,26.29,68.7,1005.39,3.43,132.53,299.51,38.30000000000001,261.21,15.52201,0.0
2018/06/30 23:15,26.200001,1008.299988,1.3,195.699997,318.5,173.600006,26.86,67.03,1005.5,3.28,128.43,351.49,40.670000000000016,310.82,15.52201,0.0
2018/06/30 23:30,26.6,1008.5,2.4,150.399994,379.0,182.899994,27.45,62.88,1005.51,3.27,134.08,385.96,42.079999999999984,343.88,15.52201,0.0
2018/06/30 23:45,27.0,1008.5,1.4,141.300003,431.600006,186.300003,27.9,61.49,1005.51,3.21,129.76,437.04,44.02000000000004,393.02,15.52201,0.0
2018/07/01 00:00,27.200001,1008.299988,3.6,150.399994,472.299988,196.600006,28.38,60.2,1005.55,3.12,123.76,470.45,45.20999999999998,425.24,15.52201,0.0
2018/07/01 00:15,27.4,1008.5,1.1,133.300003,526.900024,214.399994,28.89,56.47,1005.59,3.07,120.34,519.17,46.819999999999936,472.35,15.52201,0.0
2018/07/01 00:30,27.799999,1008.5,2.6,155.399994,550.700012,236.0,29.28,55.32,1005.54,3.09,114.92,550.64,47.829999999999984,502.81,15.52201,0.0
2018/07/01 00:45,28.1,1008.799988,2.6,158.300003,578.0,273.899994,29.69,52.28,1005.44,3.24,106.8,596.02,49.18999999999994,546.83,15.52201,0.0
2018/07/01 01:00,28.4,1008.799988,3.2,161.399994,589.799988,297.600006,30.04,49.94,1005.36,3.56,100.86,624.89,50.00999999999999,574.88,15.52201,0.0
2018/07/01 01:15,28.5,1008.5,3.1,172.5,666.700012,317.600006,30.31,48.56,1005.24,3.95,95.65,665.98,51.15999999999997,614.82,15.52201,0.0
2018/07/01 01:30,28.799999,1008.299988,2.1,197.600006,738.099976,310.899994,30.54,48.08,1005.11,4.37,92.87,691.66,51.83999999999992,639.82,15.52201,0.0
2018/07/01 01:45,29.1,1008.400024,2.1,150.399994,779.299988,338.399994,30.75,47.73,1004.99,4.83,90.99,727.48,52.77999999999997,674.7,15.52201,0.0
2018/07/01 02:00,29.299999,1008.400024,2.4,166.5,817.0,312.299988,30.91,47.47,1004.88,5.34,89.56,749.5,53.34000000000003,696.16,15.52201,0.0
