date,temp,pressure,wind_speed,wind_dir,sun_radiation,sca_radiation,nwp_tmp,nwp_rh,nwp_surfacepres,nwp_windspeed,nwp_winddir,nwp_shortwaveirrad,nwp_scatterirrad,nwp_directirrad,OT
2019/01/11 16:00,-2.8,988.5,1.0,48,0,0.0,-0.07,44.66,989.14,1.5,234.97,0.0,0.0,0.0,0.0
2019/01/11 16:15,-2.8,988.5,1.0,138,0,0.0,-0.13,45.23,989.14,1.59,238.49,0.0,0.0,0.0,0.0
2019/01/11 16:30,-2.8,988.5,1.0,40,0,0.0,-0.15,45.6,989.25,1.67,246.38,0.0,0.0,0.0,0.0
2019/01/11 16:45,-3.9,988.5,1.0,130,0,0.0,-0.17,45.86,989.31,1.77,255.51,0.0,0.0,0.0,0.0
2019/01/11 17:00,-3.9,988.5,1.0,158,0,0.0,-0.21,46.08,989.08,1.88,262.02,0.0,0.0,0.0,0.0
2019/01/11 17:15,-3.9,988.5,1.0,102,0,0.0,-0.26,46.34,989.12,2.05,265.25,0.0,0.0,0.0,0.0
2019/01/11 17:30,-2.8,988.5,1.0,96,0,0.0,-0.3,46.5,989.29,2.2,269.1,0.0,0.0,0.0,0.0
2019/01/11 17:45,-2.8,988.5,1.0,125,0,0.0,-0.33,46.59,989.25,2.28,271.84,0.0,0.0,0.0,0.0
2019/01/11 18:00,-2.8,988.5,1.0,81,0,0.0,-0.32,46.5,989.42,2.28,272.1,0.0,0.0,0.0,0.0
2019/01/11 18:15,-2.8,988.5,1.0,116,0,0.0,-0.32,46.32,989.35,2.2,269.22,0.0,0.0,0.0,0.0
2019/01/11 18:30,-2.8,988.5,1.0,108,0,0.0,-0.32,46.14,989.13,2.15,263.65,0.0,0.0,0.0,0.0
2019/01/11 18:45,-2.8,988.5,2.2,90,0,0.0,-0.37,46.22,989.06,2.28,257.56,0.0,0.0,0.0,0.0
2019/01/11 19:00,-2.8,988.5,1.1,76,0,0.0,-0.46,46.48,988.99,2.53,256.87,0.0,0.0,0.0,0.0
2019/01/12 08:00,7.6,986.299988,0.8,186,131,51.119999,7.39,33.75,988.82,3.47,44.85,204.72,33.74000000000001,170.98,2.756399
2019/01/12 08:15,6.5,986.299988,0.6,198,55,42.48,6.93,36.32,989.11,3.21,38.33,156.4,29.94000000000001,126.46,1.747614
2019/01/12 08:30,6.5,986.299988,1.7,187,35,28.08,6.45,39.26,989.24,2.9,28.64,123.6,26.819999999999997,96.78,0.994577
2019/01/12 08:45,5.4,986.299988,0.7,198,19,18.0,5.77,41.99,989.34,2.73,22.38,74.68,20.85000000000001,53.83,0.497288
2019/01/12 09:00,5.4,986.299988,0.7,128,0,9.360001,5.19,43.71,989.45,2.71,19.09,43.41,15.439999999999998,27.97,0.1847069999999999
2019/01/12 09:15,4.3,987.400024,0.6,146,0,0.0,4.64,45.08,989.54,2.62,18.3,4.16,3.1100000000000003,1.05,0.0
2019/01/12 09:30,4.3,987.400024,0.6,8,0,0.0,4.3,45.8,989.62,2.36,17.79,0.0,0.0,0.0,0.0
2019/01/12 09:45,3.3,987.400024,0.6,133,0,0.0,4.09,45.87,989.69,1.99,14.56,0.0,0.0,0.0,0.0
2019/01/12 10:00,3.3,987.400024,0.6,119,0,0.0,3.94,45.39,989.73,1.59,5.26,0.0,0.0,0.0,0.0
2019/01/12 10:15,3.3,987.400024,0.6,140,0,0.0,3.84,44.45,989.8,1.29,345.28,0.0,0.0,0.0,0.0
2019/01/12 10:30,2.1,988.5,0.6,118,0,0.0,3.69,43.69,989.89,1.2,319.18,0.0,0.0,0.0,0.0
2019/01/12 10:45,2.1,988.5,0.6,353,0,0.0,3.5,42.83,989.94,1.35,299.36,0.0,0.0,0.0,0.0
2019/01/12 11:00,1.1,988.5,0.8,128,0,0.0,3.25,41.96,990.01,1.68,290.66,0.0,0.0,0.0,0.0
2019/01/12 11:15,1.1,988.5,0.8,134,0,0.0,2.91,41.2,990.14,2.11,289.64,0.0,0.0,0.0,0.0
2019/01/12 11:30,1.1,988.5,0.8,354,0,0.0,2.52,40.59,990.36,2.53,291.32,0.0,0.0,0.0,0.0
2019/01/12 11:45,1.1,988.5,0.8,120,0,0.0,2.23,39.69,990.58,2.92,295.11,0.0,0.0,0.0,0.0
2019/01/12 12:00,1.1,989.700012,0.8,117,0,0.0,2.04,38.6,990.78,3.37,299.79,0.0,0.0,0.0,0.0
2019/01/12 12:15,1.1,989.700012,0.8,48,0,0.0,1.95,37.5,990.98,3.95,304.31,0.0,0.0,0.0,0.0
2019/01/12 12:30,0.1,989.700012,0.8,108,0,0.0,1.92,36.49,991.19,4.64,307.65,0.0,0.0,0.0,0.0
