date,temp,pressure,wind_speed,wind_dir,sun_radiation,sca_radiation,nwp_tmp,nwp_rh,nwp_surfacepres,nwp_windspeed,nwp_winddir,nwp_shortwaveirrad,nwp_scatterirrad,nwp_directirrad,capacity,OT
2018/06/30 16:00,17.6,934.799988,0.0,168.0,0.0,0.0,19.86,61.42,930.57,3.49,338.26,0.0,0.0,0.0,11.555245199999986,0.0
2018/06/30 16:15,17.5,934.700012,0.0,172.0,0.0,0.0,19.81,61.22,930.51,3.51,339.19,0.0,0.0,0.0,11.555245199999986,0.0
2018/06/30 16:30,17.299999,934.599976,0.0,174.0,0.0,0.0,19.76,61.03,930.55,3.52,340.19,0.0,0.0,0.0,11.555245199999986,0.0
2018/06/30 16:45,17.200001,934.599976,0.0,173.0,0.0,0.0,19.7,60.91,930.47,3.53,340.14,0.0,0.0,0.0,11.555245199999986,0.0
2018/06/30 17:00,17.1,934.599976,0.0,175.0,0.0,0.0,19.6,60.89,930.19,3.51,339.9,0.0,0.0,0.0,11.555245199999986,0.0
2018/06/30 17:15,17.0,934.599976,0.9,169.0,0.0,0.0,19.52,60.81,930.0,3.52,340.94,0.0,0.0,0.0,11.555245199999986,0.0
2018/06/30 17:30,16.700001,934.700012,0.0,166.0,0.0,0.0,19.46,60.61,930.02,3.51,342.69,0.0,0.0,0.0,11.555245199999986,0.0
2018/06/30 17:45,16.700001,934.5,0.0,159.0,0.0,0.0,19.41,60.35,929.91,3.44,343.88,0.0,0.0,0.0,11.555245199999986,0.0
2018/06/30 18:00,16.6,934.599976,0.0,174.0,0.0,0.0,19.38,60.0,929.77,3.38,345.12,0.0,0.0,0.0,11.555245199999986,0.0
2018/06/30 18:15,16.5,934.400024,0.0,151.0,0.0,0.0,19.38,59.51,929.83,3.35,346.0,0.0,0.0,0.0,11.555245199999986,0.0
2018/06/30 18:30,16.299999,934.400024,0.0,154.0,0.0,0.0,19.39,58.96,930.05,3.36,348.14,0.0,0.0,0.0,11.555245199999986,0.0
2018/06/30 18:45,16.4,934.400024,0.3,163.0,0.0,0.0,19.4,58.37,930.27,3.34,350.09,0.0,0.0,0.0,11.555245199999986,0.0
2018/06/30 19:00,16.200001,934.299988,0.0,162.0,0.0,0.0,19.36,57.91,930.35,3.33,348.99,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 08:00,29.9,932.900024,1.7,350.0,687.0,133.0,31.18,27.83,928.21,6.22,86.9,617.28,46.16999999999996,571.11,11.555245199999986,8.142903
2018/07/01 08:15,29.700001,932.900024,1.3,68.0,468.0,209.0,31.18,27.8,928.0,6.25,87.14,569.27,44.93999999999994,524.33,11.555245199999986,6.650747999999999
2018/07/01 08:30,29.700001,932.799988,1.0,359.0,388.0,164.0,31.21,27.51,927.86,6.35,87.55,536.08,43.99000000000007,492.09,11.555245199999986,5.059116
2018/07/01 08:45,29.299999,932.700012,1.0,6.0,272.0,110.0,31.18,27.23,927.8,6.48,88.17,484.99,42.49000000000001,442.5,11.555245199999986,3.325374
2018/07/01 09:00,29.0,932.799988,1.1,170.0,232.0,89.0,31.14,27.07,927.8,6.54,88.43,450.12,41.420000000000016,408.7,11.555245199999986,2.899044
2018/07/01 09:15,28.9,932.700012,0.0,49.0,229.0,86.0,31.03,27.09,927.81,6.53,88.42,396.77,39.63999999999999,357.13,11.555245199999986,2.884833
2018/07/01 09:30,28.799999,932.599976,2.4,84.0,199.0,75.0,30.93,27.22,927.76,6.5,88.3,360.0,38.99000000000001,321.01,11.555245199999986,2.472714
2018/07/01 09:45,28.700001,932.5,0.6,348.0,165.0,62.0,30.75,27.47,927.67,6.46,88.58,306.16,36.110000000000014,270.05,11.555245199999986,2.032173
2018/07/01 10:00,28.5,932.700012,0.4,161.0,110.0,42.0,30.6,27.71,927.62,6.42,89.07,269.71,34.50999999999999,235.2,11.555245199999986,1.293201
2018/07/01 10:15,28.5,932.799988,1.0,199.0,107.0,41.0,30.36,28.17,927.51,6.34,89.39,215.56,31.629999999999995,183.93,11.555245199999986,1.236357
2018/07/01 10:30,28.299999,932.700012,1.9,81.0,88.0,33.0,30.11,28.89,927.49,6.14,89.72,179.86,29.350000000000023,150.51,11.555245199999986,0.99477
2018/07/01 10:45,27.9,932.900024,0.4,176.0,60.0,23.0,29.69,30.15,927.56,5.68,90.01,128.15,25.5,102.65,11.555245199999986,0.653706
2018/07/01 11:00,27.299999,932.799988,0.7,203.0,49.0,19.0,29.15,31.96,927.7,4.96,89.51,95.07,22.25,72.82,11.555245199999986,0.497385
2018/07/01 11:15,27.1,932.799988,0.9,172.0,20.0,8.0,28.24,34.59,927.71,4.2,86.58,49.24,15.89,33.35,11.555245199999986,0.14211
2018/07/01 11:30,25.799999,932.700012,0.9,202.0,0.0,0.0,27.25,37.24,927.74,3.69,80.2,21.83,10.14,11.69,11.555245199999986,0.0
2018/07/01 11:45,25.0,932.700012,1.7,159.0,0.0,0.0,26.36,39.34,927.85,3.54,71.45,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 12:00,24.700001,932.799988,1.7,163.0,0.0,0.0,25.79,40.87,927.98,3.66,62.67,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 12:15,24.799999,932.900024,1.4,171.0,0.0,0.0,25.39,41.95,928.06,3.92,57.59,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 12:30,25.200001,932.799988,1.7,157.0,0.0,0.0,25.11,42.78,928.17,4.13,55.59,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 12:45,25.299999,933.200012,0.4,147.0,0.0,0.0,24.83,43.68,928.31,4.18,55.17,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 13:00,24.6,933.200012,0.0,173.0,0.0,0.0,24.51,44.75,928.45,4.1,54.78,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 13:15,24.1,933.400024,0.0,114.0,0.0,0.0,24.31,45.57,928.61,3.96,54.68,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 13:30,24.0,933.5,0.0,183.0,0.0,0.0,24.12,46.41,928.83,3.82,54.31,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 13:45,24.200001,933.700012,0.0,213.0,0.0,0.0,23.97,47.17,929.03,3.67,55.41,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 14:00,24.0,933.799988,1.0,162.0,0.0,0.0,23.77,48.11,929.2,3.53,56.97,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 14:15,24.200001,933.799988,0.4,266.0,0.0,0.0,23.61,48.98,929.29,3.37,58.44,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 14:30,23.700001,933.799988,0.0,181.0,0.0,0.0,23.54,49.54,929.38,3.16,57.6,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 14:45,22.9,933.799988,0.0,179.0,0.0,0.0,23.4,50.27,929.51,2.95,51.58,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 15:00,22.799999,933.900024,0.0,159.0,0.0,0.0,23.21,51.01,929.78,2.84,39.67,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 15:15,22.700001,933.900024,0.0,141.0,0.0,0.0,22.95,51.87,930.09,2.89,25.31,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 15:30,22.4,933.900024,0.0,183.0,0.0,0.0,22.73,52.51,930.33,3.02,17.68,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 15:45,22.299999,933.900024,0.0,175.0,0.0,0.0,22.55,52.94,930.42,3.1,19.25,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 16:00,21.799999,933.900024,0.0,147.0,0.0,0.0,21.28,57.62,930.22,3.26,12.07,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 16:15,21.5,933.700012,0.0,185.0,0.0,0.0,21.21,58.11,930.18,3.28,11.66,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 16:30,21.299999,933.799988,0.0,179.0,0.0,0.0,21.09,58.77,930.12,3.31,9.34,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 16:45,21.1,933.599976,0.0,169.0,0.0,0.0,20.98,59.41,930.07,3.3,7.25,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 17:00,20.799999,933.5,0.0,183.0,0.0,0.0,20.79,60.32,929.84,3.24,6.2,0.0,0.0,0.0,11.555245199999986,0.0
2018/07/01 17:15,20.5,933.400024,0.0,151.0,0.0,0.0,20.68,60.97,929.8,3.17,6.11,0.0,0.0,0.0,11.555245199999986,0.0
