station,split,start_index,end_index_exclusive,rows,start_time,end_time
hebei_station00,train,0,9513,9513,2018/08/15 16:00,2019/03/15 09:00
hebei_station00,validation,9513,10872,1359,2019/03/15 09:15,2019/04/14 11:15
hebei_station00,test,10872,13590,2718,2019/04/14 11:30,2019/06/13 15:45
hebei_station01,train,0,10962,10962,2018/06/30 16:00,2019/03/01 11:15
hebei_station01,validation,10962,12528,1566,2019/03/01 11:30,2019/04/05 09:00
hebei_station01,test,12528,15660,3132,2019/04/05 09:15,2019/06/13 15:45
hebei_station02,train,0,10174,10174,2018/07/22 16:00,2019/03/05 16:45
hebei_station02,validation,10174,11628,1454,2019/03/05 17:00,2019/04/07 09:00
hebei_station02,test,11628,14535,2907,2019/04/07 09:15,2019/06/10 15:45
hebei_station03,train,0,4819,4819,2019/01/11 16:00,2019/04/28 16:45
hebei_station03,validation,4819,5508,689,2019/04/28 17:00,2019/05/14 09:00
hebei_station03,test,5508,6885,1377,2019/05/14 09:15,2019/06/13 15:45
hebei_station04,train,0,10962,10962,2018/06/30 16:00,2019/03/01 11:15
hebei_station04,validation,10962,12528,1566,2019/03/01 11:30,2019/04/05 09:00
hebei_station04,test,12528,15660,3132,2019/04/05 09:15,2019/06/13 15:45
hebei_station05,train,0,3181,3181,2019/03/04 16:00,2019/05/14 12:15
hebei_station05,validation,3181,3636,455,2019/05/14 12:30,2019/05/24 13:30
hebei_station05,test,3636,4545,909,2019/05/24 13:45,2019/06/13 15:45
hebei_station06,train,0,10552,10552,2018/07/13 16:00,2019/03/05 10:00
hebei_station06,validation,10552,12060,1508,2019/03/05 10:15,2019/04/07 15:45
hebei_station06,test,12060,15075,3015,2019/04/07 16:00,2019/06/13 15:45
hebei_station07,train,0,10962,10962,2018/06/30 16:00,2019/03/01 11:15
hebei_station07,validation,10962,12528,1566,2019/03/01 11:30,2019/04/05 09:00
hebei_station07,test,12528,15660,3132,2019/04/05 09:15,2019/06/13 15:45
hebei_station08,train,0,10962,10962,2018/06/30 16:00,2019/03/01 11:15
hebei_station08,validation,10962,12528,1566,2019/03/01 11:30,2019/04/05 09:00
hebei_station08,test,12528,15660,3132,2019/04/05 09:15,2019/06/13 15:45
hebei_station09,train,0,8221,8221,2018/09/25 16:00,2019/03/27 12:15
hebei_station09,validation,8221,9396,1175,2019/03/27 12:30,2019/04/22 13:30
hebei_station09,test,9396,11745,2349,2019/04/22 13:45,2019/06/13 15:45
